flight_id,date,terminal,aircraft_type,arrival_time,departure_time,turnaround_time_min,delay_minutes,total_workload_minutes,risk_flag
FL006257,01/01/2024,T1,Wide Body,11:03:00 AM,1:15:00 PM,132,20,634,High Risk
FL006258,01/01/2024,T3,Narrow Body,1:56:00 PM,4:01:00 PM,125,30,711,High Risk
FL006259,01/01/2024,T1,Narrow Body,11:42:00 AM,12:56:00 PM,74,10,234,Normal
FL006260,01/01/2024,T3,Wide Body,6:04:00 AM,8:20:00 AM,136,0,645,Normal
FL006261,01/01/2024,T3,Narrow Body,4:05:00 PM,6:09:00 PM,124,15,625,Normal
FL006262,01/01/2024,T2,Narrow Body,3:12:00 PM,4:02:00 PM,50,0,582,Normal
FL006263,01/01/2024,T3,Narrow Body,11:16:00 AM,11:58:00 AM,42,15,380,Normal
FL006264,01/01/2024,T3,Narrow Body,4:44:00 PM,6:13:00 PM,89,20,774,High Risk
FL006265,01/01/2024,T1,Wide Body,10:16:00 AM,11:56:00 AM,100,5,926,Normal
FL006266,01/01/2024,T2,Narrow Body,5:39:00 PM,7:36:00 PM,117,20,582,High Risk
FL006267,01/01/2024,T3,Wide Body,7:05:00 PM,7:46:00 PM,41,5,620,Normal
FL006268,01/01/2024,T2,Narrow Body,11:01:00 AM,12:41:00 PM,100,0,406,Normal
FL006269,01/01/2024,T1,Narrow Body,2:53:00 AM,3:30:00 AM,37,30,459,High Risk
FL006270,01/01/2024,T2,Wide Body,6:44:00 PM,8:32:00 PM,108,0,435,Normal
FL006271,01/01/2024,T1,Narrow Body,8:50:00 PM,10:48:00 PM,118,10,433,Normal
FL006272,01/01/2024,T2,Narrow Body,9:56:00 PM,11:35:00 PM,99,30,680,High Risk
FL006273,01/01/2024,T3,Wide Body,3:41:00 PM,5:00:00 PM,79,30,581,High Risk
FL006274,01/01/2024,T2,Wide Body,1:39:00 AM,2:41:00 AM,62,20,627,High Risk
FL006275,01/01/2024,T1,Wide Body,5:00:00 AM,5:41:00 AM,41,5,340,Normal
FL006276,01/01/2024,T3,Wide Body,8:39:00 AM,9:52:00 AM,73,5,423,Normal
FL006277,01/01/2024,T2,Wide Body,9:27:00 PM,11:18:00 PM,111,20,522,High Risk
FL006278,01/01/2024,T1,Narrow Body,8:20:00 AM,9:24:00 AM,64,0,366,Normal
FL006279,01/01/2024,T2,Wide Body,6:41:00 AM,7:44:00 AM,63,20,761,High Risk
FL006280,01/01/2024,T3,Narrow Body,3:01:00 AM,4:37:00 AM,96,30,270,High Risk
FL006281,01/01/2024,T2,Wide Body,7:30:00 AM,8:20:00 AM,50,10,409,Normal
FL006282,01/01/2024,T2,Wide Body,12:11:00 PM,1:45:00 PM,94,0,689,Normal
FL006283,01/01/2024,T1,Wide Body,11:02:00 PM,12:29:00 AM,87,5,873,Normal
FL006284,01/01/2024,T3,Wide Body,1:23:00 PM,2:54:00 PM,91,0,696,Normal
FL006285,01/01/2024,T3,Wide Body,5:23:00 PM,7:16:00 PM,113,30,582,High Risk
FL006286,01/01/2024,T2,Wide Body,9:02:00 AM,11:17:00 AM,135,10,405,Normal
FL006287,01/01/2024,T3,Narrow Body,11:21:00 PM,12:32:00 AM,71,10,228,Normal
FL006288,01/01/2024,T2,Narrow Body,5:08:00 PM,7:14:00 PM,126,15,658,Normal
FL006289,01/01/2024,T3,Wide Body,6:29:00 AM,8:01:00 AM,92,10,660,Normal
FL006290,01/01/2024,T1,Wide Body,12:56:00 AM,3:07:00 AM,131,20,868,High Risk
FL006291,01/01/2024,T3,Wide Body,3:53:00 PM,5:21:00 PM,88,10,728,Normal
FL006292,01/01/2024,T1,Narrow Body,12:51:00 AM,1:59:00 AM,68,30,689,High Risk
FL006293,01/01/2024,T2,Narrow Body,2:22:00 PM,3:56:00 PM,94,10,505,Normal
FL006294,01/01/2024,T2,Narrow Body,8:22:00 PM,9:53:00 PM,91,10,335,Normal
FL006295,01/01/2024,T2,Wide Body,3:00:00 AM,3:44:00 AM,44,5,753,Normal
FL006296,01/01/2024,T1,Narrow Body,10:14:00 PM,12:28:00 AM,134,0,468,Normal
FL006297,01/01/2024,T3,Narrow Body,1:06:00 AM,3:03:00 AM,117,10,443,Normal
FL006298,01/01/2024,T2,Wide Body,1:08:00 AM,3:24:00 AM,136,20,687,High Risk
FL006299,01/01/2024,T3,Narrow Body,12:11:00 PM,2:18:00 PM,127,5,621,Normal
FL006300,01/01/2024,T2,Wide Body,9:54:00 AM,12:01:00 PM,127,5,447,Normal
FL006301,01/01/2024,T2,Wide Body,5:55:00 PM,8:12:00 PM,137,15,428,Normal
FL006302,01/01/2024,T1,Narrow Body,8:23:00 AM,9:41:00 AM,78,0,589,Normal
FL006303,01/01/2024,T1,Narrow Body,2:02:00 PM,3:32:00 PM,90,0,318,Normal
FL006304,01/01/2024,T1,Narrow Body,8:52:00 AM,10:26:00 AM,94,0,329,Normal
FL006305,01/01/2024,T1,Wide Body,2:02:00 AM,4:11:00 AM,129,15,410,Normal
FL006306,01/01/2024,T1,Wide Body,2:23:00 PM,3:07:00 PM,44,15,429,Normal
FL006307,01/01/2024,T3,Narrow Body,2:44:00 AM,3:30:00 AM,46,15,318,Normal
FL006308,01/01/2024,T3,Wide Body,5:08:00 PM,6:10:00 PM,62,10,504,Normal
FL006309,01/01/2024,T1,Wide Body,1:42:00 PM,3:11:00 PM,89,10,598,Normal
FL006310,01/01/2024,T2,Narrow Body,4:03:00 PM,5:35:00 PM,92,20,790,High Risk
FL006311,01/01/2024,T3,Narrow Body,5:26:00 PM,7:03:00 PM,97,10,633,Normal
FL006312,01/01/2024,T3,Wide Body,3:45:00 PM,5:53:00 PM,128,20,471,High Risk
FL006313,01/01/2024,T2,Narrow Body,10:54:00 PM,12:52:00 AM,118,0,596,Normal
FL006314,01/01/2024,T1,Wide Body,12:43:00 PM,2:49:00 PM,126,20,460,High Risk
FL006315,01/01/2024,T3,Wide Body,11:42:00 AM,1:33:00 PM,111,0,429,Normal
FL006316,01/01/2024,T3,Narrow Body,5:58:00 PM,7:55:00 PM,117,10,553,Normal
FL006317,01/01/2024,T1,Narrow Body,5:36:00 AM,7:40:00 AM,124,0,350,Normal
FL006318,01/01/2024,T3,Narrow Body,6:09:00 AM,7:57:00 AM,108,30,504,High Risk
FL006319,01/01/2024,T1,Wide Body,2:25:00 PM,3:36:00 PM,71,10,460,Normal
FL006320,01/01/2024,T1,Wide Body,4:25:00 PM,6:27:00 PM,122,0,301,Normal
FL006321,01/01/2024,T2,Narrow Body,5:18:00 AM,6:01:00 AM,43,15,344,Normal
FL006322,01/01/2024,T1,Wide Body,2:17:00 AM,3:19:00 AM,62,20,596,High Risk
FL006323,01/01/2024,T2,Wide Body,1:06:00 AM,2:20:00 AM,74,30,416,High Risk
FL006324,01/01/2024,T3,Narrow Body,8:18:00 AM,9:20:00 AM,62,10,389,Normal
FL006325,01/01/2024,T3,Wide Body,3:29:00 PM,5:37:00 PM,128,0,510,Normal
FL006326,01/01/2024,T2,Wide Body,8:54:00 AM,10:27:00 AM,93,0,440,Normal
FL006327,01/01/2024,T2,Wide Body,12:05:00 AM,1:04:00 AM,59,10,449,Normal
FL006328,01/01/2024,T3,Narrow Body,3:31:00 AM,4:08:00 AM,37,5,532,Normal
FL006329,01/01/2024,T3,Narrow Body,5:13:00 PM,6:49:00 PM,96,15,926,Normal
FL006330,01/01/2024,T3,Wide Body,2:48:00 AM,4:31:00 AM,103,20,346,High Risk
FL006331,01/01/2024,T2,Wide Body,10:35:00 AM,12:13:00 PM,98,0,330,Normal
FL006332,01/01/2024,T1,Wide Body,6:57:00 AM,7:43:00 AM,46,0,775,Normal
FL006333,01/01/2024,T1,Narrow Body,5:15:00 PM,7:16:00 PM,121,0,684,Normal
FL006334,01/01/2024,T2,Narrow Body,12:07:00 PM,1:47:00 PM,100,10,624,Normal
FL006335,01/01/2024,T2,Narrow Body,2:16:00 PM,4:29:00 PM,133,15,510,Normal
FL006336,01/01/2024,T3,Wide Body,7:10:00 AM,9:04:00 AM,114,0,523,Normal
FL006337,01/01/2024,T2,Wide Body,11:40:00 PM,12:30:00 AM,50,15,624,Normal
FL006338,01/01/2024,T3,Narrow Body,9:15:00 PM,11:33:00 PM,138,10,446,Normal
FL006339,01/01/2024,T1,Narrow Body,11:07:00 PM,1:23:00 AM,136,20,499,High Risk
FL006340,01/01/2024,T3,Narrow Body,11:16:00 AM,12:37:00 PM,81,20,633,High Risk
FL006341,01/01/2024,T3,Narrow Body,3:43:00 PM,5:02:00 PM,79,5,852,Normal
FL006342,01/01/2024,T1,Narrow Body,6:21:00 PM,7:22:00 PM,61,10,616,Normal
FL006343,01/01/2024,T3,Narrow Body,6:10:00 PM,8:22:00 PM,132,0,603,Normal
FL006344,01/01/2024,T3,Narrow Body,1:53:00 AM,2:53:00 AM,60,10,642,Normal
FL006345,01/01/2024,T2,Narrow Body,1:08:00 PM,2:07:00 PM,59,0,349,Normal
FL006346,01/01/2024,T1,Wide Body,10:38:00 AM,11:33:00 AM,55,30,400,High Risk
FL006347,01/01/2024,T1,Narrow Body,8:15:00 AM,10:27:00 AM,132,0,456,Normal
FL006348,01/01/2024,T2,Narrow Body,2:09:00 AM,3:49:00 AM,100,30,467,High Risk
FL006349,01/01/2024,T1,Narrow Body,6:35:00 AM,7:47:00 AM,72,10,725,Normal
FL006350,01/01/2024,T1,Narrow Body,1:42:00 PM,2:28:00 PM,46,0,691,Normal
FL006351,01/01/2024,T2,Wide Body,11:20:00 AM,1:17:00 PM,117,5,498,Normal
FL006352,01/01/2024,T2,Narrow Body,1:50:00 AM,2:33:00 AM,43,0,349,Normal
FL006353,01/01/2024,T2,Wide Body,6:28:00 AM,7:10:00 AM,42,0,723,Normal
FL006354,01/01/2024,T3,Narrow Body,3:21:00 PM,4:52:00 PM,91,0,281,Normal
FL006355,01/01/2024,T3,Wide Body,1:37:00 AM,3:30:00 AM,113,15,260,Normal
FL006356,01/01/2024,T2,Wide Body,8:57:00 PM,10:42:00 PM,105,15,870,Normal
FL006357,01/01/2024,T3,Wide Body,3:35:00 PM,5:02:00 PM,87,5,481,Normal
FL006358,01/01/2024,T2,Narrow Body,10:25:00 AM,11:41:00 AM,76,0,660,Normal
FL006359,01/01/2024,T1,Narrow Body,8:23:00 PM,10:13:00 PM,110,20,536,High Risk
FL006360,01/01/2024,T2,Wide Body,8:57:00 PM,10:48:00 PM,111,0,870,Normal
FL006361,01/01/2024,T2,Narrow Body,1:52:00 AM,3:20:00 AM,88,0,583,Normal
FL006362,01/01/2024,T1,Wide Body,12:46:00 AM,2:14:00 AM,88,20,778,High Risk
FL006363,01/01/2024,T1,Narrow Body,11:33:00 PM,1:26:00 AM,113,0,288,Normal
FL006364,01/01/2024,T3,Narrow Body,11:58:00 PM,2:06:00 AM,128,0,348,Normal
FL006365,01/01/2024,T1,Narrow Body,10:40:00 PM,11:47:00 PM,67,20,631,High Risk
FL006366,01/01/2024,T2,Narrow Body,6:16:00 PM,7:09:00 PM,53,0,644,Normal
FL006367,01/01/2024,T3,Wide Body,11:27:00 PM,12:12:00 AM,45,15,663,Normal
FL006368,01/01/2024,T1,Wide Body,9:46:00 PM,11:12:00 PM,86,20,574,High Risk
FL006369,01/01/2024,T3,Narrow Body,4:59:00 AM,5:37:00 AM,38,10,438,Normal
FL006370,01/01/2024,T3,Narrow Body,4:56:00 PM,6:44:00 PM,108,0,485,Normal
FL006371,01/01/2024,T3,Narrow Body,12:22:00 AM,1:41:00 AM,79,0,528,Normal
FL006372,01/01/2024,T3,Wide Body,10:35:00 PM,12:52:00 AM,137,30,517,High Risk
FL006373,01/01/2024,T1,Wide Body,4:25:00 AM,6:37:00 AM,132,0,355,Normal
FL006374,02/01/2024,T1,Narrow Body,12:00:00 AM,1:00:00 AM,60,0,663,Normal
FL006375,01/01/2024,T3,Wide Body,1:35:00 AM,3:32:00 AM,117,10,420,Normal
FL006376,01/01/2024,T3,Wide Body,7:04:00 PM,8:22:00 PM,78,0,399,Normal
FL006377,01/01/2024,T1,Wide Body,8:40:00 AM,10:58:00 AM,138,0,552,Normal
FL006378,01/01/2024,T2,Narrow Body,4:56:00 AM,6:49:00 AM,113,10,707,Normal
FL006379,01/01/2024,T3,Narrow Body,11:25:00 AM,12:23:00 PM,58,15,489,Normal
FL006380,01/01/2024,T3,Narrow Body,11:06:00 PM,12:46:00 AM,100,0,942,Normal
FL006381,01/01/2024,T2,Narrow Body,9:33:00 PM,11:14:00 PM,101,20,675,High Risk
FL006382,01/01/2024,T3,Narrow Body,1:29:00 AM,2:40:00 AM,71,0,879,Normal
FL006383,01/01/2024,T1,Wide Body,6:12:00 AM,7:20:00 AM,68,15,653,Normal
FL006384,01/01/2024,T2,Wide Body,10:15:00 AM,11:51:00 AM,96,20,289,High Risk
FL006385,01/01/2024,T2,Narrow Body,11:38:00 PM,1:30:00 AM,112,0,347,Normal
FL006386,01/01/2024,T3,Wide Body,8:46:00 AM,9:31:00 AM,45,20,636,High Risk
FL006387,01/01/2024,T2,Narrow Body,1:23:00 PM,3:26:00 PM,123,0,235,Normal
FL006388,01/01/2024,T2,Wide Body,3:12:00 AM,4:36:00 AM,84,20,330,High Risk
FL006389,01/01/2024,T3,Wide Body,4:35:00 AM,5:38:00 AM,63,30,502,High Risk
FL006390,01/01/2024,T2,Narrow Body,1:00:00 PM,2:19:00 PM,79,0,705,Normal
FL006391,01/01/2024,T3,Narrow Body,7:01:00 AM,8:25:00 AM,84,20,490,High Risk
FL006392,01/01/2024,T1,Narrow Body,10:05:00 PM,10:56:00 PM,51,0,577,Normal
FL006393,01/01/2024,T3,Narrow Body,3:20:00 AM,5:37:00 AM,137,20,596,High Risk
FL006394,01/01/2024,T2,Wide Body,12:18:00 AM,1:28:00 AM,70,30,580,High Risk
FL006395,01/01/2024,T3,Narrow Body,2:43:00 AM,4:54:00 AM,131,5,771,Normal
FL006396,01/01/2024,T1,Wide Body,5:22:00 PM,5:59:00 PM,37,0,408,Normal
FL006397,01/01/2024,T3,Wide Body,8:45:00 AM,10:26:00 AM,101,5,564,Normal
FL006398,01/01/2024,T3,Wide Body,7:07:00 PM,8:03:00 PM,56,10,363,Normal
FL006399,01/01/2024,T3,Narrow Body,2:30:00 AM,4:20:00 AM,110,10,493,Normal
FL006400,01/01/2024,T3,Narrow Body,3:41:00 PM,5:59:00 PM,138,15,418,Normal
FL006401,01/01/2024,T2,Narrow Body,7:57:00 AM,9:11:00 AM,74,5,644,Normal
FL006402,01/01/2024,T1,Wide Body,8:05:00 PM,9:25:00 PM,80,30,904,High Risk
FL006403,01/01/2024,T1,Wide Body,7:20:00 AM,9:16:00 AM,116,5,895,Normal
FL006404,01/01/2024,T3,Wide Body,4:18:00 AM,6:17:00 AM,119,30,279,High Risk
FL006405,01/01/2024,T3,Wide Body,12:16:00 AM,2:34:00 AM,138,20,474,High Risk
FL006406,01/01/2024,T3,Wide Body,9:23:00 PM,11:05:00 PM,102,15,580,Normal
FL006407,01/01/2024,T3,Narrow Body,12:58:00 PM,3:01:00 PM,123,0,292,Normal
FL006408,01/01/2024,T3,Narrow Body,12:32:00 PM,2:46:00 PM,134,0,474,Normal
FL006409,01/01/2024,T3,Narrow Body,5:56:00 PM,6:52:00 PM,56,0,308,Normal
FL006410,01/01/2024,T1,Narrow Body,5:59:00 PM,7:01:00 PM,62,15,690,Normal
FL006411,01/01/2024,T2,Wide Body,7:09:00 AM,7:49:00 AM,40,20,588,High Risk
FL006412,01/01/2024,T2,Wide Body,6:16:00 PM,8:24:00 PM,128,30,584,High Risk
FL006413,01/01/2024,T2,Narrow Body,1:58:00 PM,3:54:00 PM,116,20,522,High Risk
FL006414,01/01/2024,T3,Narrow Body,9:30:00 AM,10:46:00 AM,76,30,315,High Risk
FL006415,01/01/2024,T2,Wide Body,9:10:00 AM,11:18:00 AM,128,30,680,High Risk
FL006416,01/01/2024,T1,Narrow Body,11:25:00 AM,12:18:00 PM,53,15,446,Normal
FL006417,01/01/2024,T1,Wide Body,9:42:00 PM,10:42:00 PM,60,15,424,Normal
FL006418,01/01/2024,T3,Wide Body,11:45:00 AM,1:47:00 PM,122,0,786,Normal
FL006419,01/01/2024,T3,Wide Body,5:10:00 PM,7:14:00 PM,124,10,800,Normal
FL006420,01/01/2024,T2,Wide Body,6:20:00 PM,8:25:00 PM,125,0,515,Normal
FL006421,01/01/2024,T3,Wide Body,11:24:00 PM,12:07:00 AM,43,20,367,High Risk
FL006422,01/01/2024,T2,Wide Body,11:20:00 PM,12:15:00 AM,55,15,508,Normal
FL006423,01/01/2024,T3,Narrow Body,4:06:00 AM,6:16:00 AM,130,30,758,High Risk
FL006424,01/01/2024,T2,Narrow Body,2:29:00 PM,3:36:00 PM,67,10,498,Normal
FL006425,01/01/2024,T2,Wide Body,8:55:00 PM,10:22:00 PM,87,0,720,Normal
FL006426,01/01/2024,T3,Wide Body,12:13:00 PM,2:27:00 PM,134,10,664,Normal
FL006427,01/01/2024,T2,Wide Body,3:48:00 AM,5:41:00 AM,113,20,454,High Risk
FL006428,01/01/2024,T1,Narrow Body,8:06:00 AM,10:13:00 AM,127,5,410,Normal
FL006429,01/01/2024,T3,Narrow Body,11:58:00 AM,2:07:00 PM,129,0,442,Normal
FL006430,01/01/2024,T1,Narrow Body,3:45:00 AM,5:10:00 AM,85,0,560,Normal
FL006431,01/01/2024,T2,Narrow Body,11:10:00 AM,12:58:00 PM,108,0,418,Normal
FL006432,01/01/2024,T1,Wide Body,9:35:00 AM,10:28:00 AM,53,5,532,Normal
FL006433,01/01/2024,T3,Narrow Body,10:25:00 AM,12:38:00 PM,133,30,315,High Risk
FL006434,01/01/2024,T3,Narrow Body,1:01:00 PM,2:28:00 PM,87,10,689,Normal
FL006435,01/01/2024,T3,Narrow Body,2:52:00 PM,4:50:00 PM,118,0,506,Normal
FL006436,01/01/2024,T1,Wide Body,9:37:00 PM,11:16:00 PM,99,0,288,Normal
FL006437,01/01/2024,T2,Narrow Body,6:57:00 AM,7:57:00 AM,60,0,530,Normal
FL006438,01/01/2024,T2,Narrow Body,11:23:00 AM,12:26:00 PM,63,15,379,Normal
FL006439,01/01/2024,T2,Wide Body,5:59:00 PM,7:25:00 PM,86,0,666,Normal
FL006440,01/01/2024,T2,Wide Body,11:48:00 AM,1:04:00 PM,76,20,265,High Risk
FL006441,01/01/2024,T1,Narrow Body,12:32:00 AM,1:51:00 AM,79,20,461,High Risk
FL006442,01/01/2024,T2,Wide Body,1:23:00 AM,3:16:00 AM,113,10,519,Normal
FL006443,01/01/2024,T3,Narrow Body,1:45:00 PM,3:41:00 PM,116,30,393,High Risk
FL006444,01/01/2024,T3,Wide Body,4:38:00 AM,5:19:00 AM,41,5,378,Normal
FL006445,01/01/2024,T2,Narrow Body,1:29:00 PM,3:33:00 PM,124,0,769,Normal
FL006446,01/01/2024,T1,Wide Body,8:27:00 PM,10:30:00 PM,123,20,606,High Risk
FL006447,01/01/2024,T3,Narrow Body,3:10:00 PM,5:19:00 PM,129,15,323,Normal
FL006448,01/01/2024,T1,Wide Body,1:27:00 AM,2:23:00 AM,56,15,559,Normal
FL006449,01/01/2024,T1,Narrow Body,10:09:00 PM,12:08:00 AM,119,0,482,Normal
FL006450,01/01/2024,T2,Wide Body,10:59:00 PM,12:37:00 AM,98,15,438,Normal
FL006451,01/01/2024,T1,Narrow Body,6:44:00 PM,7:36:00 PM,52,20,869,High Risk
FL006452,01/01/2024,T2,Narrow Body,6:13:00 AM,7:41:00 AM,88,15,450,Normal
FL006453,01/01/2024,T3,Wide Body,1:34:00 PM,3:10:00 PM,96,10,926,Normal
FL006454,01/01/2024,T2,Narrow Body,1:29:00 PM,2:04:00 PM,35,30,464,High Risk
FL006455,01/01/2024,T3,Narrow Body,11:43:00 AM,12:28:00 PM,45,0,821,Normal
FL006456,01/01/2024,T2,Wide Body,3:34:00 PM,5:10:00 PM,96,0,383,Normal
FL006457,01/01/2024,T3,Wide Body,5:13:00 AM,7:01:00 AM,108,10,326,Normal
FL006458,01/01/2024,T2,Narrow Body,3:16:00 AM,5:32:00 AM,136,15,518,Normal
FL006459,01/01/2024,T1,Wide Body,7:01:00 AM,9:02:00 AM,121,10,499,Normal
FL006460,01/01/2024,T1,Narrow Body,9:09:00 PM,10:53:00 PM,104,15,278,Normal
FL006461,01/01/2024,T2,Wide Body,10:37:00 PM,12:25:00 AM,108,30,718,High Risk
FL006462,01/01/2024,T2,Wide Body,3:11:00 PM,4:41:00 PM,90,15,870,Normal
FL006463,01/01/2024,T2,Narrow Body,7:52:00 PM,8:31:00 PM,39,15,231,Normal
FL006464,01/01/2024,T3,Wide Body,11:07:00 AM,12:20:00 PM,73,5,409,Normal
FL006465,01/01/2024,T1,Wide Body,9:47:00 PM,11:01:00 PM,74,30,378,High Risk
FL006466,01/01/2024,T1,Wide Body,10:26:00 PM,12:04:00 AM,98,20,285,High Risk
FL006467,01/01/2024,T1,Narrow Body,7:14:00 PM,8:11:00 PM,57,10,688,Normal
FL006468,01/01/2024,T2,Wide Body,8:54:00 PM,9:35:00 PM,41,5,532,Normal
FL006469,01/01/2024,T2,Narrow Body,10:11:00 AM,11:00:00 AM,49,15,443,Normal
FL006470,01/01/2024,T2,Narrow Body,8:15:00 PM,9:49:00 PM,94,0,674,Normal
FL006471,01/01/2024,T1,Narrow Body,10:39:00 PM,11:20:00 PM,41,15,744,Normal
FL006472,01/01/2024,T2,Wide Body,9:57:00 PM,11:04:00 PM,67,5,423,Normal
FL006473,01/01/2024,T2,Narrow Body,9:49:00 AM,11:42:00 AM,113,0,478,Normal
FL006474,01/01/2024,T3,Wide Body,10:30:00 PM,11:38:00 PM,68,0,304,Normal
FL006475,01/01/2024,T2,Wide Body,5:54:00 AM,7:14:00 AM,80,15,908,Normal
FL006476,01/01/2024,T1,Narrow Body,1:41:00 PM,2:48:00 PM,67,15,418,Normal
FL006477,01/01/2024,T3,Wide Body,9:13:00 AM,11:10:00 AM,117,10,563,Normal
FL006478,01/01/2024,T3,Wide Body,3:15:00 AM,4:40:00 AM,85,15,696,Normal
FL006479,01/01/2024,T3,Wide Body,3:57:00 PM,4:59:00 PM,62,0,343,Normal
FL006480,01/01/2024,T3,Wide Body,8:06:00 AM,8:59:00 AM,53,15,405,Normal
FL006481,01/01/2024,T1,Wide Body,11:55:00 AM,1:40:00 PM,105,30,613,High Risk
FL006482,01/01/2024,T2,Wide Body,8:24:00 PM,9:37:00 PM,73,0,717,Normal
FL006483,01/01/2024,T2,Narrow Body,10:18:00 PM,11:45:00 PM,87,0,799,Normal
FL006484,01/01/2024,T2,Narrow Body,6:07:00 PM,8:20:00 PM,133,5,420,Normal
FL006485,01/01/2024,T1,Narrow Body,2:00:00 PM,2:56:00 PM,56,10,488,Normal
FL006486,01/01/2024,T2,Narrow Body,3:09:00 PM,3:44:00 PM,35,30,503,High Risk
FL006487,01/01/2024,T2,Wide Body,3:28:00 AM,4:35:00 AM,67,0,221,Normal
FL006488,01/01/2024,T2,Wide Body,8:41:00 AM,10:49:00 AM,128,5,492,Normal
FL006489,01/01/2024,T3,Wide Body,9:55:00 AM,10:45:00 AM,50,15,264,Normal
FL006490,01/01/2024,T1,Narrow Body,7:31:00 PM,8:49:00 PM,78,30,398,High Risk
FL006491,01/01/2024,T3,Wide Body,9:40:00 AM,11:02:00 AM,82,0,563,Normal
FL006492,01/01/2024,T1,Narrow Body,4:11:00 AM,5:45:00 AM,94,20,312,High Risk
FL006493,01/01/2024,T1,Wide Body,3:26:00 AM,4:03:00 AM,37,15,848,Normal
FL006494,01/01/2024,T1,Narrow Body,9:01:00 PM,11:02:00 PM,121,0,336,Normal
FL006495,01/01/2024,T1,Wide Body,2:57:00 PM,5:07:00 PM,130,30,534,High Risk
FL006496,01/01/2024,T3,Wide Body,7:33:00 PM,9:49:00 PM,136,0,864,Normal
FL006497,01/01/2024,T2,Narrow Body,4:41:00 PM,6:25:00 PM,104,15,808,Normal
FL006498,01/01/2024,T1,Wide Body,10:42:00 AM,12:44:00 PM,122,0,494,Normal
FL006499,01/01/2024,T2,Narrow Body,3:44:00 AM,5:54:00 AM,130,20,674,High Risk
FL006500,01/01/2024,T3,Narrow Body,3:11:00 PM,4:37:00 PM,86,15,554,Normal
FL006501,01/01/2024,T2,Wide Body,6:45:00 AM,9:01:00 AM,136,5,396,Normal
FL006502,01/01/2024,T2,Wide Body,12:33:00 PM,2:34:00 PM,121,0,594,Normal
FL006503,01/01/2024,T2,Narrow Body,4:41:00 PM,5:23:00 PM,42,0,538,Normal
FL006504,01/01/2024,T1,Wide Body,6:13:00 PM,7:56:00 PM,103,0,524,Normal
FL006505,01/01/2024,T2,Narrow Body,7:17:00 AM,8:21:00 AM,64,5,516,Normal
FL006506,01/01/2024,T1,Wide Body,8:53:00 PM,9:28:00 PM,35,5,425,Normal
FL006507,01/01/2024,T2,Wide Body,1:36:00 AM,3:28:00 AM,112,0,872,Normal
FL006508,01/01/2024,T2,Narrow Body,4:48:00 PM,6:44:00 PM,116,20,422,High Risk
FL006509,01/01/2024,T1,Wide Body,1:49:00 PM,3:50:00 PM,121,30,457,High Risk
FL006510,01/01/2024,T2,Narrow Body,7:22:00 PM,8:49:00 PM,87,10,789,Normal
FL006511,01/01/2024,T1,Narrow Body,5:45:00 PM,6:22:00 PM,37,0,488,Normal
FL006512,01/01/2024,T3,Narrow Body,3:34:00 PM,5:35:00 PM,121,15,755,Normal
FL006513,01/01/2024,T2,Narrow Body,9:27:00 PM,10:57:00 PM,90,20,466,High Risk
FL006514,01/01/2024,T1,Wide Body,12:51:00 AM,2:31:00 AM,100,0,271,Normal
FL006515,01/01/2024,T1,Wide Body,10:50:00 PM,12:18:00 AM,88,10,570,Normal
FL006516,01/01/2024,T3,Wide Body,2:19:00 AM,3:12:00 AM,53,20,481,High Risk
FL006517,01/01/2024,T1,Narrow Body,7:54:00 PM,8:42:00 PM,48,0,513,Normal
FL006518,01/01/2024,T1,Narrow Body,6:41:00 AM,8:57:00 AM,136,10,657,Normal
FL006519,01/01/2024,T1,Wide Body,9:23:00 PM,11:22:00 PM,119,0,540,Normal
FL006520,01/01/2024,T1,Wide Body,12:53:00 PM,1:38:00 PM,45,0,559,Normal
FL006521,01/01/2024,T3,Wide Body,11:22:00 AM,1:40:00 PM,138,20,371,High Risk
FL006522,01/01/2024,T2,Wide Body,10:52:00 AM,12:24:00 PM,92,20,778,High Risk
FL006523,01/01/2024,T1,Narrow Body,12:42:00 PM,2:46:00 PM,124,15,501,Normal
FL006524,01/01/2024,T2,Wide Body,11:25:00 PM,1:44:00 AM,139,10,628,Normal
FL006525,01/01/2024,T3,Narrow Body,2:36:00 AM,3:25:00 AM,49,15,554,Normal
FL006526,01/01/2024,T2,Wide Body,2:54:00 AM,3:56:00 AM,62,5,498,Normal
FL006527,01/01/2024,T3,Wide Body,5:26:00 PM,6:03:00 PM,37,0,226,Normal
FL006528,01/01/2024,T3,Narrow Body,1:58:00 AM,2:59:00 AM,61,5,788,Normal
FL006529,01/01/2024,T2,Wide Body,3:10:00 PM,5:17:00 PM,127,0,680,Normal
FL006530,01/01/2024,T2,Wide Body,6:19:00 PM,8:33:00 PM,134,0,550,Normal
FL006531,01/01/2024,T3,Narrow Body,8:52:00 AM,10:15:00 AM,83,0,640,Normal
FL006532,01/01/2024,T2,Narrow Body,12:57:00 AM,1:41:00 AM,44,5,623,Normal
FL006533,01/01/2024,T2,Narrow Body,8:17:00 AM,9:33:00 AM,76,0,580,Normal
FL006534,01/01/2024,T2,Narrow Body,3:47:00 AM,4:45:00 AM,58,5,638,Normal
FL006535,01/01/2024,T1,Narrow Body,1:17:00 PM,1:53:00 PM,36,30,544,High Risk
FL006536,01/01/2024,T2,Wide Body,1:28:00 PM,2:40:00 PM,72,0,614,Normal
